transaction_date,security_title,shares,price_per_share,remaining_shares,accession_number,name,title,reporting_date,issuer_cik,owner_cik,buy_sell,ownership_nature,url,filing_date,company_stock_id
2025-02-10,common  stock,11319.0,58.7001,28064.0,0001127602-25-004186,McConnell Jamie,Chief Accountg & Admin Officer,2025-02-07,1058090,2040500,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225004186/xslF345X05/form4.xml,2025-02-11,-1.0
2025-02-07,common stock,15750.0,57.3056,394764.0,0001127602-25-004168,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2025-02-07,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225004168/xslF345X05/form4.xml,2025-02-11,-1.0
2025-01-07,common stock,15750.0,58.2388,410514.0,0001127602-25-001061,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2025-01-07,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225001061/xslF345X05/form4.xml,2025-01-10,-1.0
2024-12-10,common stock,4404.0,65.0057,185792.0,0001127602-24-029287,Schalow Laurie,"Chief Corp Affairs, Food Sft",2024-11-25,1058090,1772380,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760224029287/xslF345X05/form4.xml,2024-12-12,-1.0
2024-12-11,common stock,16846.0,65.1615,168946.0,0001127602-24-029287,Schalow Laurie,"Chief Corp Affairs, Food Sft",2024-11-25,1058090,1772380,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760224029287/xslF345X05/form4.xml,2024-12-12,-1.0
2024-12-09,common stock,14718.0,64.3327,427296.0,0001127602-24-028967,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2024-12-09,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760224028967/xslF345X05/form4.xml,2024-12-10,-1.0
2024-12-09,common stock,1032.0,64.8897,426264.0,0001127602-24-028967,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2024-12-09,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760224028967/xslF345X05/form4.xml,2024-12-10,-1.0
2024-12-06,common stock,44549.0,65.2493,442014.0,0001127602-24-028807,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2024-12-06,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760224028807/xslF345X05/form4.xml,2024-12-06,-1.0
2024-11-12,common  stock,20000.0,60.0124,145000.0,0001127602-24-027301,Brandt Christopher W,Chief Brand Officer,2024-11-12,1058090,1675463,Sell,Indirect,https://www.sec.gov/Archives/edgar/data/1058090/000112760224027301/xslF345X05/form4.xml,2024-11-14,-1.0
2024-11-07,common stock,15736.0,58.455,442028.0,0001127602-24-026836,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2024-11-07,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760224026836/xslF345X05/form4.xml,2024-11-08,-1.0
2024-11-07,common stock,14.0,59.1039,442014.0,0001127602-24-026836,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2024-11-07,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760224026836/xslF345X05/form4.xml,2024-11-08,-1.0
2024-10-07,common stock,15750.0,57.0519,457764.0,0001127602-24-025330,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2024-10-07,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760224025330/xslF345X05/form4.xml,2024-10-08,-1.0
2024-09-12,common stock,1790.0,56.3824,41510.0,0001127602-24-023906,Hickenlooper Robin S,Director,2024-09-12,1058090,1567241,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760224023906/xslF345X05/form4.xml,2024-09-13,-1.0
2024-09-11,common stock,15750.0,55.0193,473514.0,0001127602-24-023902,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2024-09-11,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760224023902/xslF345X05/form4.xml,2024-09-13,-1.0
2024-08-06,common stock,17394.0,54.6833,358300.0,0001127602-24-021795,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2024-08-06,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760224021795/xslF345X05/form4.xml,2024-08-07,-1.0
2024-07-29,common stock,60239.0,50.9564,358300.0,0001127602-24-021164,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2024-07-29,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760224021164/xslF345X05/form4.xml,2024-07-30,-1.0
2024-06-13,common stock,2461.0,3249.0083,67166.0,0001127602-24-018694,Hartung Jack,Chief Financial & Admn Officer,2024-06-13,1058090,1350874,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760224018694/xslF345X05/form4.xml,2024-06-14,-1.0
2026-04-28,"Common Stock, par value $0.01 pershare",7710.0,90.82,141035.0,0001193125-26-197102,Peterson Bradley J,"EVP, CIO",2026-04-28,1120193,1568592,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1120193/000119312526197102/xslF345X06/ownership.xml,2026-04-30,-1.0
2026-02-11,Common Stock,2831.0,119.0,127796.321,0001628280-26-008201,Garros Julio,Chief Operating Officer,2026-02-11,1996862,1855193,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1855193/000162828026008201/xslF345X05/wk-form4_1771021548.xml,2026-02-13,-1.0
2025-11-21,Common Stock,5300.0,94.3823,124536.808,0001628280-25-054056,Dimopoulos Christos,"Executive VP, Global Markets",2025-11-21,1996862,1758115,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1758115/000162828025054056/xslF345X05/wk-form4_1764118783.xml,2025-11-25,-1.0
2025-11-21,Common Stock,20000.0,94.3709,104536.808,0001628280-25-054056,Dimopoulos Christos,"Executive VP, Global Markets",2025-11-21,1996862,1758115,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1758115/000162828025054056/xslF345X05/wk-form4_1764118783.xml,2025-11-25,-1.0
2025-08-18,Common Stock,5000.0,81.73,7164.0,0002074676-25-000002,Mahoney Christopher,Director,2025-08-18,1996862,2074676,Buy,Direct,https://www.sec.gov/Archives/edgar/data/1996862/000207467625000002/xslF345X05/wk-form4_1755729444.xml,2025-08-20,-1.0
2024-05-22,Common Stock,20000.0,103.26,87998.808,0001996862-24-000147,Dimopoulos Christos,"Co-President, Agribusiness",2024-05-22,1996862,1758115,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1758115/000199686224000147/xslF345X05/wk-form4_1716495821.xml,2024-05-23,-1.0
2026-02-19,"Class B Stock, $0.01 par value",140000.0,13.8175,3912600.0,0000037996-26-000020,FORD WILLIAM CLAY JR,Executive Chair and Chair,2026-02-19,37996,1230846,Buy,Indirect,https://www.sec.gov/Archives/edgar/data/37996/000003799626000020/xslF345X05/wk-form4_1771882223.xml,2026-02-23,-1.0
2026-04-27,Dep Shares-int in 4.50% Ser H Non-Cum Perp Pref Stk,6500.0,17.09,11500.0,0001225208-26-004706,ROLLINS JAMES D III,Director,2026-04-27,49196,1213483,Buy,Direct,https://www.sec.gov/Archives/edgar/data/49196/000122520826004706/xslF345X06/doc4.xml,2026-04-29,-1.0
2026-04-27,Dep Shares-int in 5.50% Ser L Non-Cum Perp Pref Stk,1971.0,21.05,6471.0,0001225208-26-004706,ROLLINS JAMES D III,Director,2026-04-27,49196,1213483,Buy,Direct,https://www.sec.gov/Archives/edgar/data/49196/000122520826004706/xslF345X06/doc4.xml,2026-04-29,-1.0
2026-04-28,Dep Shares-int in 5.50% Ser L Non-Cum Perp Pref Stk,3029.0,21.05,9500.0,0001225208-26-004706,ROLLINS JAMES D III,Director,2026-04-27,49196,1213483,Buy,Direct,https://www.sec.gov/Archives/edgar/data/49196/000122520826004706/xslF345X06/doc4.xml,2026-04-29,-1.0
