transaction_date,security_title,shares,price_per_share,remaining_shares,accession_number,name,title,reporting_date,issuer_cik,owner_cik,buy_sell,ownership_nature,url,filing_date,company_stock_id
2025-02-20,Common Stock,3904.0,310.3752,6683.0,0000905148-25-000741,Bauer Matthew N,SVP & Controller,2025-02-20,1868275,1910420,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1868275/000090514825000741/xslF345X05/form4.xml,2025-02-21,-1.0
2025-02-20,Common Stock,96.0,311.209,6587.0,0000905148-25-000741,Bauer Matthew N,SVP & Controller,2025-02-20,1868275,1910420,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1868275/000090514825000741/xslF345X05/form4.xml,2025-02-21,-1.0
2026-02-24,common stock,3350.0,36.58,36376.0,0001058090-26-000022,FILIKRUSHEL PATRICIA,Director,2026-02-24,1058090,1237450,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000105809026000022/xslF345X05/form4.xml,2026-02-25,-1.0
2026-02-06,common stock,61077.0,40.0127,298360.0,0001058090-26-000013,Garner Curtis E,"Pres, Chief Strgy  & Tech Off",2026-02-06,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000105809026000013/xslF345X05/form4.xml,2026-02-10,-1.0
2025-12-12,common stock,67646.0,36.0468,298360.0,0001058090-25-000103,Garner Curtis E,"Pres, Chief Strgy  & Tech Off",2025-12-12,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000105809025000103/xslF345X05/form4.xml,2025-12-12,-1.0
2025-12-01,common stock,61892.0,34.669,298360.0,0001058090-25-000097,Garner Curtis E,"Pres, Chief Strgy  & Tech Off",2025-12-01,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000105809025000097/xslF345X05/form4.xml,2025-12-02,-1.0
2025-08-25,common  stock,26576.0,43.1489,84441.0,0001058090-25-000060,Eskenazi Ilene,Chief Human Resources Officer,2025-08-22,1058090,1834416,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000105809025000060/xslF345X05/form4.xml,2025-08-26,-1.0
2025-07-07,common stock,15750.0,56.3243,339732.0,0001127602-25-019016,Garner Curtis E,"Pres, Chief Strgy  & Tech Off",2025-07-07,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225019016/xslF345X05/form4.xml,2025-07-08,-1.0
2025-06-25,common stock,63000.0,55.1402,355482.0,0001127602-25-018209,Garner Curtis E,"Pres, Chief Strgy  & Tech Off",2025-06-25,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225018209/xslF345X05/form4.xml,2025-06-30,-1.0
2025-06-12,common stock,2250.0,51.2128,43412.0,0001127602-25-017459,Hickenlooper Robin S,Director,2025-06-11,1058090,1567241,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225017459/xslF345X05/form4.xml,2025-06-13,-1.0
2025-06-12,common stock,2076.0,51.1303,39726.0,0001127602-25-017453,FILIKRUSHEL PATRICIA,Director,2025-06-11,1058090,1237450,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225017453/xslF345X05/form4.xml,2025-06-13,-1.0
2025-06-04,common stock,23302.0,52.1369,418482.0,0001127602-25-016970,Garner Curtis E,"Pres, Chief Strgy  & Tech Off",2025-06-04,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225016970/xslF345X05/form4.xml,2025-06-06,-1.0
2025-06-06,common stock,19000.0,52.4807,331291.0,0001127602-25-016967,Boatwright Scott,Chief Executive Officer,2025-06-06,1058090,1716538,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225016967/xslF345X05/form4.xml,2025-06-06,-1.0
2025-06-02,common stock,113875.0,49.6973,109815.0,0001127602-25-016720,Theodoredis Roger E,Chief Legal Officer & GC,2025-06-02,1058090,1559525,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225016720/xslF345X05/form4.xml,2025-06-04,-1.0
2025-05-21,common stock,23134.0,50.8443,418482.0,0001127602-25-015463,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2025-05-21,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225015463/xslF345X05/form4.xml,2025-05-23,-1.0
2025-05-14,common  stock,3087.0,52.4228,28064.0,0001127602-25-014458,McConnell Jamie,Chief Accountg & Admin Officer,2025-05-14,1058090,2040500,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225014458/xslF345X05/form4.xml,2025-05-15,-1.0
2025-03-11,common stock,6940.0,50.5273,418482.0,0001127602-25-009365,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2025-03-11,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225009365/xslF345X05/form4.xml,2025-03-13,-1.0
2025-03-12,common stock,6930.0,50.2084,418482.0,0001127602-25-009365,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2025-03-11,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225009365/xslF345X05/form4.xml,2025-03-13,-1.0
2025-03-13,common stock,6891.0,48.5644,418482.0,0001127602-25-009365,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2025-03-11,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225009365/xslF345X05/form4.xml,2025-03-13,-1.0
2025-03-05,common stock,9400.0,53.0,31400.0,0001127602-25-008719,Gutierrez Mauricio,Director,2025-03-05,1058090,1428578,Buy,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225008719/xslF345X05/form4.xml,2025-03-07,-1.0
2025-02-25,common stock,20937.0,52.3617,418482.0,0001127602-25-007109,Garner Curtis E,Chief  Customer & Techlgy Ofcr,2025-02-25,1058090,1641487,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1058090/000112760225007109/xslF345X05/form4.xml,2025-02-27,-1.0
