transaction_date,security_title,shares,price_per_share,remaining_shares,accession_number,name,title,reporting_date,issuer_cik,owner_cik,buy_sell,ownership_nature,url,filing_date,company_stock_id
2024-05-08,Employee Stock Option (right to buy),300.0,454.0,3463.0,0001141391-24-000093,Arkell Sandra A,Controller,2024-05-06,1141391,1649899,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000093/xslF345X05/wk-form4_1715203720.xml,2024-05-08,-1.0
2024-03-22,"Common Stock, $0.01 per share",31000000.0,57.997,58341545.0,0000950103-24-004179,Borse Dubai LTD,10% Owner,2024-03-22,1120193,1429059,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1120193/000095010324004179/xslF345X05/dp208740_4-borse.xml,2024-03-22,-1.0
2024-05-21,Class  A Common Stock,18165.0,32.559,322966.0,0001315098-24-000111,Chakravarthy Arvind,Chief People & Systems Officer,2024-05-21,1315098,2015855,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1315098/000131509824000111/xslF345X05/wk-form4_1716416995.xml,2024-05-22,-1.0
