transaction_date,security_title,shares,price_per_share,remaining_shares,accession_number,name,title,reporting_date,issuer_cik,owner_cik,buy_sell,ownership_nature,url,filing_date,company_stock_id
2026-01-20,Common Stock,43169.0,205.457,207160.0,0001402348-26-000001,Slootman Frank,Director,2026-01-20,1640147,1402348,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1402348/000140234826000001/xslF345X05/wk-form4_1769124552.xml,2026-01-22,-1.0
2026-01-20,Common Stock,76672.0,206.669,130488.0,0001402348-26-000001,Slootman Frank,Director,2026-01-20,1640147,1402348,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1402348/000140234826000001/xslF345X05/wk-form4_1769124552.xml,2026-01-22,-1.0
2026-01-20,Common Stock,74830.0,207.477,55658.0,0001402348-26-000001,Slootman Frank,Director,2026-01-20,1640147,1402348,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1402348/000140234826000001/xslF345X05/wk-form4_1769124552.xml,2026-01-22,-1.0
2026-01-20,Common Stock,2718.0,208.669,52940.0,0001402348-26-000001,Slootman Frank,Director,2026-01-20,1640147,1402348,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1402348/000140234826000001/xslF345X05/wk-form4_1769124552.xml,2026-01-22,-1.0
2026-01-20,Common Stock,2611.0,209.199,50329.0,0001402348-26-000001,Slootman Frank,Director,2026-01-20,1640147,1402348,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1402348/000140234826000001/xslF345X05/wk-form4_1769124552.xml,2026-01-22,-1.0
2026-01-02,Common Stock,10000.0,219.9,471351.0,0001979088-26-000001,Kleinerman Christian,"EVP, Product Management",2026-01-02,1640147,1979088,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1640147/000197908826000001/xslF345X05/wk-form4_1767742720.xml,2026-01-06,-1.0
2025-12-31,Common Stock,11801.0,220.435,218020.0,0002038740-26-000001,Raghunathan Vivek,"SVP, Engineering and Support",2025-12-31,1640147,2038740,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1640147/000203874026000001/xslF345X05/wk-form4_1767661002.xml,2026-01-05,-1.0
2026-01-02,Common Stock,340.0,221.258,24184.0,0001433644-26-000001,Speiser Michael L,Director,2026-01-02,1640147,1433644,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1433644/000143364426000001/xslF345X05/wk-form4_1767660956.xml,2026-01-05,-1.0
2026-01-02,Common Stock,63.0,220.64,24121.0,0001433644-26-000001,Speiser Michael L,Director,2026-01-02,1640147,1433644,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1433644/000143364426000001/xslF345X05/wk-form4_1767660956.xml,2026-01-05,-1.0
2026-01-02,Common Stock,28736.0,221.258,1297444.0,0001433644-26-000001,Speiser Michael L,Director,2026-01-02,1640147,1433644,Sell,Indirect,https://www.sec.gov/Archives/edgar/data/1433644/000143364426000001/xslF345X05/wk-form4_1767660956.xml,2026-01-05,-1.0
2026-01-02,Common Stock,5269.0,220.64,1292175.0,0001433644-26-000001,Speiser Michael L,Director,2026-01-02,1640147,1433644,Sell,Indirect,https://www.sec.gov/Archives/edgar/data/1433644/000143364426000001/xslF345X05/wk-form4_1767660956.xml,2026-01-05,-1.0
2026-01-02,Common Stock,10963.0,221.258,494968.0,0001433644-26-000001,Speiser Michael L,Director,2026-01-02,1640147,1433644,Sell,Indirect,https://www.sec.gov/Archives/edgar/data/1433644/000143364426000001/xslF345X05/wk-form4_1767660956.xml,2026-01-05,-1.0
2026-01-02,Common Stock,2010.0,220.64,492958.0,0001433644-26-000001,Speiser Michael L,Director,2026-01-02,1640147,1433644,Sell,Indirect,https://www.sec.gov/Archives/edgar/data/1433644/000143364426000001/xslF345X05/wk-form4_1767660956.xml,2026-01-05,-1.0
2026-01-02,Common Stock,710.0,221.258,32046.0,0001433644-26-000001,Speiser Michael L,Director,2026-01-02,1640147,1433644,Sell,Indirect,https://www.sec.gov/Archives/edgar/data/1433644/000143364426000001/xslF345X05/wk-form4_1767660956.xml,2026-01-05,-1.0
2026-01-02,Common Stock,130.0,220.64,31916.0,0001433644-26-000001,Speiser Michael L,Director,2026-01-02,1640147,1433644,Sell,Indirect,https://www.sec.gov/Archives/edgar/data/1433644/000143364426000001/xslF345X05/wk-form4_1767660956.xml,2026-01-05,-1.0
2026-01-02,Common Stock,710.0,221.258,32046.0,0001433644-26-000001,Speiser Michael L,Director,2026-01-02,1640147,1433644,Sell,Indirect,https://www.sec.gov/Archives/edgar/data/1433644/000143364426000001/xslF345X05/wk-form4_1767660956.xml,2026-01-05,-1.0
2026-01-02,Common Stock,130.0,220.64,31916.0,0001433644-26-000001,Speiser Michael L,Director,2026-01-02,1640147,1433644,Sell,Indirect,https://www.sec.gov/Archives/edgar/data/1433644/000143364426000001/xslF345X05/wk-form4_1767660956.xml,2026-01-05,-1.0
2026-01-02,Common Stock,710.0,221.258,32046.0,0001433644-26-000001,Speiser Michael L,Director,2026-01-02,1640147,1433644,Sell,Indirect,https://www.sec.gov/Archives/edgar/data/1433644/000143364426000001/xslF345X05/wk-form4_1767660956.xml,2026-01-05,-1.0
2026-01-02,Common Stock,130.0,220.64,31916.0,0001433644-26-000001,Speiser Michael L,Director,2026-01-02,1640147,1433644,Sell,Indirect,https://www.sec.gov/Archives/edgar/data/1433644/000143364426000001/xslF345X05/wk-form4_1767660956.xml,2026-01-05,-1.0
2026-01-02,Common Stock,710.0,221.258,32046.0,0001433644-26-000001,Speiser Michael L,Director,2026-01-02,1640147,1433644,Sell,Indirect,https://www.sec.gov/Archives/edgar/data/1433644/000143364426000001/xslF345X05/wk-form4_1767660956.xml,2026-01-05,-1.0
2026-01-02,Common Stock,130.0,220.64,31916.0,0001433644-26-000001,Speiser Michael L,Director,2026-01-02,1640147,1433644,Sell,Indirect,https://www.sec.gov/Archives/edgar/data/1433644/000143364426000001/xslF345X05/wk-form4_1767660956.xml,2026-01-05,-1.0
2025-12-23,Common Stock,1072.0,223.63,43809.0,0002012024-25-000009,Ho Emily,Chief Accounting Officer,2025-12-22,1640147,2012024,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1640147/000201202425000009/xslF345X05/wk-form4_1766531498.xml,2025-12-23,-1.0
2025-12-23,Common Stock,4755.0,224.3,536587.0,0001979088-25-000011,Kleinerman Christian,"EVP, Product Management",2025-12-22,1640147,1979088,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1640147/000197908825000011/xslF345X05/wk-form4_1766531417.xml,2025-12-23,-1.0
2025-12-23,Common Stock,870.0,224.3,43250.0,0001821737-25-000017,Dageville Benoit,Founder and Chief Architect,2025-12-22,1640147,1821737,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1640147/000182173725000017/xslF345X05/wk-form4_1766531398.xml,2025-12-23,-1.0
2025-12-18,Common Stock,586.0,222.908,45975.0,0002012024-25-000008,Ho Emily,Chief Accounting Officer,2025-12-18,1640147,2012024,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1640147/000201202425000008/xslF345X05/wk-form4_1766445978.xml,2025-12-22,-1.0
2025-12-18,Common Stock,3744.0,217.43,246585.0,0001402348-25-000009,Slootman Frank,Director,2025-12-18,1640147,1402348,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1402348/000140234825000009/xslF345X05/wk-form4_1766445924.xml,2025-12-22,-1.0
2025-12-18,Common Stock,7300.0,219.858,239285.0,0001402348-25-000009,Slootman Frank,Director,2025-12-18,1640147,1402348,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1402348/000140234825000009/xslF345X05/wk-form4_1766445924.xml,2025-12-22,-1.0
2025-12-18,Common Stock,31710.0,220.505,207575.0,0001402348-25-000009,Slootman Frank,Director,2025-12-18,1640147,1402348,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1402348/000140234825000009/xslF345X05/wk-form4_1766445924.xml,2025-12-22,-1.0
2025-12-18,Common Stock,44582.0,221.468,162993.0,0001402348-25-000009,Slootman Frank,Director,2025-12-18,1640147,1402348,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1402348/000140234825000009/xslF345X05/wk-form4_1766445924.xml,2025-12-22,-1.0
2025-12-18,Common Stock,107574.0,222.595,55419.0,0001402348-25-000009,Slootman Frank,Director,2025-12-18,1640147,1402348,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1402348/000140234825000009/xslF345X05/wk-form4_1766445924.xml,2025-12-22,-1.0
2025-12-18,Common Stock,5090.0,223.214,50329.0,0001402348-25-000009,Slootman Frank,Director,2025-12-18,1640147,1402348,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1402348/000140234825000009/xslF345X05/wk-form4_1766445924.xml,2025-12-22,-1.0
2025-12-16,Common Stock,1912.0,212.45,45009.0,0001821737-25-000016,Dageville Benoit,Founder and Chief Architect,2025-12-12,1640147,1821737,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1640147/000182173725000016/xslF345X05/wk-form4_1765930933.xml,2025-12-16,-1.0
2025-12-16,Common Stock,7728.0,212.45,140945.0,0001402348-25-000007,Slootman Frank,Director,2025-12-15,1640147,1402348,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1402348/000140234825000007/xslF345X05/wk-form4_1765930812.xml,2025-12-16,-1.0
2025-12-16,Common Stock,2975.0,212.45,504427.0,0001979088-25-000010,Kleinerman Christian,"EVP, Product Management",2025-12-15,1640147,1979088,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1640147/000197908825000010/xslF345X05/wk-form4_1765930787.xml,2025-12-16,-1.0
